school,Enrollment,Address,location,latitude,longitude
AHS,5142,"300 Rivercrest Boulevard. Allen, TX 75002","Allen High School, 300, Rivercrest Boulevard, Allen, Collin County, Texas, 75002, United States",33.10948965,-96.66070362
ANDERSON,444,305 N. Alder Drive  Allen,"305, North Alder Drive, Morningside, Allen, Collin County, Texas, 75002, United States",33.1036068,-96.63668484
BOLIN,555,"5705 Cheyenne Parker, TX 75002","5705, Cheyenne Drive, Parker, Collin County, Texas, 75002, United States",33.08114375,-96.63829952
BOON,762,"1050 Comanche Dr Allen, TX 75013","1050, Comanche Drive, Allen, Collin County, Texas, 75013, United States",33.1130576,-96.69288279
BOYD,652,"800 Jupiter Rd Allen, TX 75002-4447","800, South Jupiter Road, Allen, Collin County, Texas, 75002, United States",33.08517165,-96.66770134
CHANDLER,662,"1000 Water Oak Allen, TX 75002","1000, Water Oak Drive, Allen, Collin County, Texas, 75002, United States",33.0807546,-96.62283633
CHEATHAM,794,"612 E Bethany Dr Allen, TX 75002","612 E Bethany Dr Allen, TX 75002, United States",33.12319182,-96.68664306
CURTIS,1412,"1530 Rivercrest Blvd Allen, TX 75002-4547","1530, Rivercrest Boulevard, Country Meadow, Allen, Collin County, Texas, 75002, United States",33.10675535,-96.6300098
DILLARD,0,"601 E. Main Street  Allen, TX  75002 ","601, East Main Street, Allen, Collin County, Texas, 75002, United States",33.10085005,-96.65874655
ERECKSON,1247,"450 Tatum Dr Allen, TX 75013","Ereckson Middle School, 450, Tatum Drive, Allen, Collin County, Texas, 75013, United States",33.0950726,-96.70742376
EVANS,734,"1225 Walnut Springs Dr Allen, TX 75013","1225, Walnut Springs Drive, Walnut Springs at Twin Creeks, Allen, Collin County, Texas, 75013, United States",33.1165477,-96.72336761
FORD,848,"630 Park Pl Dr Allen, TX 75002-3006","W E Pete Ford Middle School, 630, Park Place Drive, Allen, Collin County, Texas, 75002, United States",33.09222395,-96.65681017
GREEN,577,"1315 Comanche Allen, TX 75013-2053","1315, Comanche Drive, Allen, Collin County, Texas, 75013, United States",33.1075624,-96.70151727
KERR,722,"1325 Glendover Dr Allen, TX 75013","1325, Glendover Drive, Glendover Park, Allen, Collin County, Texas, 75013, United States",33.11869075,-96.70188342
LINDSEY,807,"5730 Wilford Dr Mckinney, TX 75070","5730, Wilford Drive, McKinney, Collin County, Texas, 75070, United States",33.15206279,-96.69006805
LOWERY,1815,"368 N Greenville Ave Allen, TX 75002","368, North Greenville Avenue, Allen, Collin County, Texas, 75002, United States",33.10475182,-96.65869283
MARION,629,"1595 Stablerun Allen, TX 75002","1595, Stablerun Drive, Allen, Collin County, Texas, 75002, United States",33.12398215,-96.64074051
NORTON,608,"1120 Newport Dr Allen, TX 75013-2053","1120, Newport Drive, Allen, Collin County, Texas, 75013, United States",33.0951042,-96.69362914
OLSON,586,"612 E Bethany Rd Allen, TX 75002","612, East Bethany Drive, Allen, Collin County, Texas, 75002, United States",33.08537436,-96.66421887
PRESTON,540,"2455 Hillard Dr Allen, TX 75013","2455 Hillard Dr Allen, TX 75013, United States",33.14097129,-96.66746042
REED,565,"1200 Rivercrest Blvd Allen, TX 75002-2053","1200, Rivercrest Boulevard, Fountain Park, Allen, Collin County, Texas, 75002, United States",33.1075184,-96.64266338
ROUNTREE,493,"800 E Main St Allen, TX 75002-3117","800, East Main Street, Allen, Collin County, Texas, 75002, United States",33.100245,-96.651844
STEAM,0,"1680 Ridgeview Drive Allen, Texas 75013","1680, Ridgeview Drive, Allen, Collin County, Texas, 75013, United States",33.12614634,-96.71416834
STORY,494,"1550 Edelweiss Dr Allen, TX 75002-4416","1550, Edelweiss Drive, Allen, Collin County, Texas, 75002, United States",33.0948957,-96.63040956
VAUGHAN,719,"820 Cottonwood Dr Allen, TX 75002-0013","820, Cottonwood Drive, Allen, Collin County, Texas, 75002, United States",33.0824908,-96.65737189
