school,Enrollment,Address,
AHS,5142,"300 Rivercrest Boulevard. Allen, TX 75002",
ANDERSON,444,305 N. Alder Drive  Allen,
BOLIN,555,"5705 Cheyenne Parker, TX 75002",
BOON,762,"1050 Comanche Dr Allen, TX 75013",
BOYD,652,"800 Jupiter Rd Allen, TX 75002-4447",
CHANDLER,662,"1000 Water Oak Allen, TX 75002",
CHEATHAM,794,"612 E Bethany Dr Allen, TX 75002",
CURTIS,1412,"1530 Rivercrest Blvd Allen, TX 75002-4547",
DILLARD,0,"601 E. Main Street  Allen, TX  75002 ",
ERECKSON,1247,"450 Tatum Dr Allen, TX 75013",
EVANS,734,"1225 Walnut Springs Dr Allen, TX 75013",
FORD,848,"630 Park Pl Dr Allen, TX 75002-3006",
GREEN,577,"1315 Comanche Allen, TX 75013-2053",
KERR,722,"1325 Glendover Dr Allen, TX 75013",
LINDSEY,807,"5730 Wilford Dr Mckinney, TX 75070",
LOWERY,1815,"368 N Greenville Ave Allen, TX 75002",
MARION,629,"1595 Stablerun Allen, TX 75002",
NORTON,608,"1120 Newport Dr Allen, TX 75013-2053",
OLSON,586,"612 E Bethany Rd Allen, TX 75002",
PRESTON,540,"2455 Hillard Dr Allen, TX 75013",
REED,565,"1200 Rivercrest Blvd Allen, TX 75002-2053",
ROUNTREE,493,"800 E Main St Allen, TX 75002-3117",
STEAM,0,"1680 Ridgeview Drive Allen, Texas 75013",
STORY,494,"1550 Edelweiss Dr Allen, TX 75002-4416",
VAUGHAN,719,"820 Cottonwood Dr Allen, TX 75002-0013",
